# South Korea (KOR), World Bank open data, retrieved 2026-09-19
# SH.DYN.MORT      mortality rate, under-5 (per 1,000 live births)
# SP.DYN.LE00.IN   life expectancy at birth, total (years)
# SP.DYN.TFRT.IN   fertility rate, total (births per woman)
# NY.GDP.PCAP.KD   GDP per capita (constant 2015 US$)
# api.worldbank.org/v2/country/KOR/indicator/<code>?format=json&per_page=400
year	under5_mortality_per_1000	life_expectancy	total_fertility_rate	gdp_pc_const2015usd
1960	112.900000	53.797561	5.994000	1037.728992
1961	107.200000	54.476854	5.803000	1077.104640
1962	102.300000	55.054951	5.562000	1087.793622
1963	97.400000	55.025463	5.334000	1153.234869
1964	92.400000	55.392244	5.068000	1229.369989
1965	87.300000	55.864585	4.887000	1286.166254
1966	81.900000	55.522976	4.782000	1404.838111
1967	76.500000	60.928732	4.615000	1498.010496
1968	71.100000	60.943268	4.510000	1657.188540
1969	66.000000	61.482902	4.447000	1856.484188
1970	61.400000	62.163415	4.530000	2001.046564
1971	57.200000	62.612195	4.540000	2170.964697
1972	53.700000	63.009756	4.120000	2286.936668
1973	50.800000	63.407317	4.070000	2583.311585
1974	48.300000	63.804878	3.770000	2784.472418
1975	46.200000	64.153659	3.430000	2955.196390
1976	44.200000	64.502439	3.000000	3294.134971
1977	42.400000	64.900000	2.990000	3644.593853
1978	40.400000	65.197561	2.640000	3986.997779
1979	38.500000	65.546341	2.900000	4270.072989
1980	36.300000	66.046341	2.820000	4139.960685
1981	34.000000	66.546341	2.570000	4377.640267
1982	31.600000	67.095122	2.390000	4675.530537
1983	29.300000	67.546341	2.060000	5227.538931
1984	26.900000	68.195122	1.740000	5712.639848
1985	24.600000	68.795122	1.660000	6105.742690
1986	22.400000	69.446341	1.580000	6740.699416
1987	20.500000	69.997561	1.530000	7535.126604
1988	18.700000	70.548780	1.550000	8367.046565
1989	17.100000	71.048780	1.560000	8878.296553
1990	15.700000	71.597561	1.570000	9672.578452
1991	14.500000	72.046341	1.710000	10618.843144
1992	13.300000	72.497561	1.760000	11176.560686
1993	12.300000	72.997561	1.654000	11837.469205
1994	11.400000	73.397561	1.656000	12817.244782
1995	10.500000	73.700000	1.634000	13924.304400
1996	9.800000	74.151220	1.574000	14894.327883
1997	9.100000	74.602439	1.537000	15682.271791
1998	8.500000	75.004878	1.464000	14800.509157
1999	8.000000	75.409756	1.425000	16402.916834
2000	7.600000	75.909756	1.480000	17763.135342
2001	7.200000	76.412195	1.309000	18460.428819
2002	6.800000	76.765854	1.178000	19775.380066
2003	6.400000	77.214634	1.191000	20278.040642
2004	6.000000	77.665854	1.164000	21244.813680
2005	5.600000	78.168293	1.085000	22123.761307
2006	5.200000	78.668293	1.132000	23162.186011
2007	4.800000	79.119512	1.259000	24391.765101
2008	4.500000	79.517073	1.192000	24934.539637
2009	4.300000	79.968293	1.149000	25009.914831
2010	4.100000	80.117073	1.226000	26623.048712
2011	4.000000	80.568293	1.244000	27393.455357
2012	3.800000	80.819512	1.297000	27944.056419
2013	3.700000	81.270732	1.187000	28732.711152
2014	3.600000	81.721951	1.205000	29470.673299
2015	3.500000	82.024390	1.239000	30171.790655
2016	3.400000	82.275610	1.172000	31005.407288
2017	3.300000	82.626829	1.052000	31979.902730
2018	3.200000	82.626829	0.977000	32852.888749
2019	3.100000	83.226829	0.918000	33496.311382
2020	3.100000	83.426829	0.837000	33215.929893
2021	3.000000	83.526829	0.808000	34792.939721
2022	2.900000	82.680488	0.778000	35809.013811
2023	2.900000	83.429268	0.721000	36347.703639
2024	2.800000	83.629268	0.748000	37048.426400
2025				37469.660023
