# imo-snapshot.tsv -- read 2026-09-21 from imo-official.org in a browser (table rows via DOM, not retyped)
# source	url	contestants_or_teams
# 1987	https://www.imo-official.org/results/individual/year/1987/	237
# 1981	https://www.imo-official.org/results/individual/year/1981/	185
# BRA	https://www.imo-official.org/results/individual/country/BRA/	279 rows, 47 years, 1979-2026
# 2026T	https://www.imo-official.org/results/team/year/2026/	117
# Rows below: every 42 in 1987 and 1981, every BRA row that year, every BRA 42 ever, BRA 2026, top 13 teams 2026.
set	name	ctry	rank	award	pts	p1	p2	p3	p4	p5	p6
1987	Vladimir B. Mihov	BGR	1	G	42	7	7	7	7	7	7
1987	Ralph Costa Teixeira	BRA	1	G	42	7	7	7	7	7	7
1987	Ravi Vakil	CAN	1	G	42	7	7	7	7	7	7
1987	Xiong Liu	CHN	1	G	42	7	7	7	7	7	7
1987	Jun Teng	CHN	1	G	42	7	7	7	7	7	7
1987	Frank Göring	GDR	1	G	42	7	7	7	7	7	7
1987	Gerd Kunert	GDR	1	G	42	7	7	7	7	7	7
1987	Jörg Eisfeld	GER	1	G	42	7	7	7	7	7	7
1987	Martin Härterich	GER	1	G	42	7	7	7	7	7	7
1987	Thorsten Kleinjung	GER	1	G	42	7	7	7	7	7	7
1987	Wolfgang Schwarz	GER	1	G	42	7	7	7	7	7	7
1987	Mugurel Barcău	ROU	1	G	42	7	7	7	7	7	7
1987	Nicuşor Dan	ROU	1	G	42	7	7	7	7	7	7
1987	Andrei Moroianu	ROU	1	G	42	7	7	7	7	7	7
1987	Liviu Suciu	ROU	1	G	42	7	7	7	7	7	7
1987	Adrian Vasiu	ROU	1	G	42	7	7	7	7	7	7
1987	Kevin Mark Buzzard	UNK	1	G	42	7	7	7	7	7	7
1987	Jordan S. Ellenberg	USA	1	G	42	7	7	7	7	7	7
1987	Eric K. Wepsic	USA	1	G	42	7	7	7	7	7	7
1987	Lev Borisov	USS	1	G	42	7	7	7	7	7	7
1987	Sergei Ivanov	USS	1	G	42	7	7	7	7	7	7
1987	Stanislav Smirnov	USS	1	G	42	7	7	7	7	7	7
1987	Marcelo Ricardo Xavier de Mendonça	BRA	86	B	25	7	7	2	2	7	0
1987	Felipe Fritz Braga	BRA	95	B	22	5	7	0	1	7	2
1987	Alberto Adami	BRA	159		10	0	7	0	1	2	0
1987	Marcelo Coelho Ferraz	BRA	159		10	0	7	0	2	0	1
1987	Herbert Cesar Gonçalves	BRA	180		7	0	6	1	0	0	0
1981	Andreas Binder	AUT	1	G	42	7	7	7	7	7	7
1981	Harald Skarke	AUT	1	G	42	7	7	7	7	7	7
1981	Georgi Iordanov Vodev	BGR	1	G	42	7	7	7	7	7	7
1981	Nicolau Corçao Saldanha	BRA	1	G	42	7	7	7	7	7	7
1981	David Ash	CAN	1	G	42	7	7	7	7	7	7
1981	Georges Gonthier	CAN	1	G	42	7	7	7	7	7	7
1981	Jan Nekovář	CZS	1	G	42	7	7	7	7	7	7
1981	Jean-François Bertin	FRA	1	G	42	7	7	7	7	7	7
1981	Pierre Lavaurs	FRA	1	G	42	7	7	7	7	7	7
1981	Hartmut Maennel	GER	1	G	42	7	7	7	7	7	7
1981	Martin Neschen	GER	1	G	42	7	7	7	7	7	7
1981	Günter M. Ziegler	GER	1	G	42	7	7	7	7	7	7
1981	Gábor Simonyi	HUN	1	G	42	7	7	7	7	7	7
1981	Yossi Azar	ISR	1	G	42	7	7	7	7	7	7
1981	Michel Dauphin	LUX	1	G	42	7	7	7	7	7	7
1981	Jarosław Wróblewski	POL	1	G	42	7	7	7	7	7	7
1981	Mark David Bennet	UNK	1	G	42	7	7	7	7	7	7
1981	William Timothy (Tim) Gowers	UNK	1	G	42	7	7	7	7	7	7
1981	Noam Elkies	USA	1	G	42	7	7	7	7	7	7
1981	Benji Fisher	USA	1	G	42	7	7	7	7	7	7
1981	Brian Hunt	USA	1	G	42	7	7	7	7	7	7
1981	Jeremy Primer	USA	1	G	42	7	7	7	7	7	7
1981	Valery Alexeev	USS	1	G	42	7	7	7	7	7	7
1981	Yuri Chekanov	USS	1	G	42	7	7	7	7	7	7
1981	Mikhail Grinchuk	USS	1	G	42	7	7	7	7	7	7
1981	Mladen Despić	YUG	1	G	42	7	7	7	7	7	7
BRA42	Ralph Costa Teixeira	BRA	1	G	42	7	7	7	7	7	7
BRA42	Nicolau Corçao Saldanha	BRA	1	G	42	7	7	7	7	7	7
TEIX1985	Ralph Costa Teixeira	BRA	108		13	7	1	1	3	0	1
TEIX1986	Ralph Costa Teixeira	BRA	10	G	37	7	7	2	7	7	7
BRA2026	Rafael Alves Amiune	BRA	56	S	28	7	7	0	7	7	0
BRA2026	Paulo Jônatas de Oliveira Pimentel Leite	BRA	56	S	28	7	7	1	6	7	0
BRA2026	Levi Magalhães Pereira Castello Branco	BRA	56	S	28	7	7	0	7	7	0
BRA2026	Erick Akira Koga	BRA	76	S	27	7	7	0	7	5	1
BRA2026	Enzo Holanda	BRA	90	S	26	7	7	0	7	5	0
BRA2026	José Elias Padovan Britto	BRA	263	B	18	7	1	0	5	5	0
TEAM2026	CHN	CHN	1		232	42	35	35	42	42	36
TEAM2026	USA	USA	2		207	42	28	27	42	38	30
TEAM2026	RUS	RUS	3		196	42	32	19	42	42	19
TEAM2026	SGP	SGP	4		169	42	24	10	40	37	16
TEAM2026	VNM	VNM	5		168	42	39	14	38	33	2
TEAM2026	KOR	KOR	6		167	42	20	17	40	37	11
TEAM2026	IND	IND	7		166	42	29	6	39	39	11
TEAM2026	PRK	PRK	8		163	41	31	7	41	40	3
TEAM2026	UNK	UNK	8		163	42	19	8	42	41	11
TEAM2026	JPN	JPN	10		159	42	17	9	35	40	16
TEAM2026	BRA	BRA	11		155	42	36	1	39	36	1
TEAM2026	ROU	ROU	12		152	42	27	0	36	39	8
TEAM2026	CAN	CAN	13		151	42	17	7	42	40	3
