rung	title	file	report	needs	theorems	sha256	status	volume
01	Counting, and the first thing that goes wrong	floor/Rung01Counting.lean	floor/rung01.axioms.txt	toolchain only	11	2f9000e38fb9ff05a9abd22cd4e70986a1fc471ba8872313dad8184477afbf71	verified 2026-09-19	
02	The repair: integers, and why the sign rules are forced	floor/Rung02Integers.lean		toolchain only			not written	
03	Fractions, and what dividing by zero is for	floor/Rung03Rationals.lean		toolchain only			not written	
04	Order, and why you may not multiply an inequality by anything	floor/Rung04Order.lean		toolchain only			not written	
05	Powers and roots	floor/Rung05Powers.lean		Mathlib			not written	
06	Polynomials, and the one fact that makes factoring work	floor/Rung06Polynomials.lean		Mathlib			not written	
07	Trigonometry as a circle, not a triangle	floor/Rung07Circle.lean		Mathlib			not written	
08	Limits are filters	floor/Rung08Limits.lean		Mathlib			not written	
09	Probability: a random variable is a measurable map	floor/Rung09Probability.lean		Mathlib			not written	
33	The index of the shift	book33/ShiftIndex.lean	book33/shiftindex.axioms.txt	Mathlib	4	0dc19ea29a395ba1c4b0bc72bdfb18a99adf9fe986c004a0eba3e54d086dbd3d	verified 2026-09-19	XXXIII
