'Orthogenesis.Allostatic.load_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_le_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_lt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_strictAntiOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_strictMonoOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.breach_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.chapter_test_misses_breach' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_le_total' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.load_unit' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_lt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_strictAntiOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.V_strictMonoOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.breach_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Allostatic.chapter_test_misses_breach' depends on axioms: [propext, Classical.choice, Quot.sound]
