'Orthogenesis.AnnealingRevision.acceptProb_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_strictAnti' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_flat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.minimum_moves' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.gradient_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.step_contracts_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_strictAnti' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.acceptProb_flat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.minimum_moves' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.gradient_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.AnnealingRevision.step_contracts_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
