'Orthogenesis.CoherenceBridge.linMat_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.linMat_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.trace_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.det_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.not_similar_of_mu_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.ratio_of_rescaled_similar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.spiral_sink_of' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.all_rows_spiral_sinks' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.mu_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.ratio_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.linMat_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.linMat_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.trace_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.det_conj' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.not_similar_of_mu_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.ratio_of_rescaled_similar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.spiral_sink_of' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.all_rows_spiral_sinks' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.mu_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CoherenceBridge.ratio_chain' depends on axioms: [propext, Classical.choice, Quot.sound]
