'Orthogenesis.Circadian.contactVol_eq_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.contact_condition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_no_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_preserves_diff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_scaled' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.time_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.periodic_rescale_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.zLift_legendrian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.zLift_not_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.contactVol_eq_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.contact_condition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_no_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.flow_preserves_diff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.reeb_scaled' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.time_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.periodic_rescale_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.zLift_legendrian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Circadian.zLift_not_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
