'Orthogenesis.FixedPointConclusion.banach_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.banach_apriori_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.first_revision_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.expanding_has_fixed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.identity_all_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.three_rounds_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.slow_contraction_44' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.banach_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.banach_apriori_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.first_revision_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.expanding_has_fixed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.identity_all_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.three_rounds_half' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FixedPointConclusion.slow_contraction_44' depends on axioms: [propext, Classical.choice, Quot.sound]
