'Figure8.gerono_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_on_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_on_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_on_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_on_zero_set' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_scaling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.diag_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_Q_indefinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.small_t' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.bernoulli_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_hasDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_transverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.gerono_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.solar_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Figure8.lunar_origin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
