'Analemma.mem_analemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_implicit_fwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_implicit_bwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_point_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_bottom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.mem_analemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_implicit_fwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_implicit_bwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_point_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_bottom' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'Analemma.analemma_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
