'BernoulliLemniscate.mem_lemniscate' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.mem_lemniscate_alt' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_y' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_right_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_left_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_intercepts' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_sq_ge_y_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_radius_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_y_bound_quarter' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_radius_tight' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_polar_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_right_lobe_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_left_lobe_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_not_analemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.mem_lemniscate' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.mem_lemniscate_alt' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_y' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_symm_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_right_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_left_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_intercepts' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_sq_ge_y_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_radius_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_y_bound_quarter' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_radius_tight' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_polar_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_right_lobe_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_left_lobe_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
'BernoulliLemniscate.bernoulli_not_analemma' depends on axioms: [propext, Classical.choice, Quot.sound]
