'GeronoLemniscate.mem_lemniscate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.mem_lemniscate_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_parametric' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_symm_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_symm_y' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_right_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_left_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_bound_tight' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_right_lobe_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.mem_lemniscate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.mem_lemniscate_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_parametric' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_symm_x' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_symm_y' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_right_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_left_tip' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_y_bound_tight' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'GeronoLemniscate.gerono_right_lobe_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
