'LunarAnalemma.mem_lunar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_implicit_fwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_point_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_bottom' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_not_solar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_narrower_than_solar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.mem_lunar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_param' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_implicit_fwd' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_point_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_origin' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_top' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_bottom' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_x_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_y_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_at_pi' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_self_intersect' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_not_gerono' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_not_solar' depends on axioms: [propext, Classical.choice, Quot.sound]
'LunarAnalemma.lunar_narrower_than_solar' depends on axioms: [propext, Classical.choice, Quot.sound]
