'Orthogenesis.CircadianTrader.T_ignores_clock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.v2_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.v2_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.T_not_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.T_four_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.lam_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.lam_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.standstills' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.T_ignores_clock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.v2_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.v2_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.T_not_monotone' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.T_four_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.lam_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.lam_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.CircadianTrader.standstills' depends on axioms: [propext, Classical.choice, Quot.sound]
