'Orthogenesis.MarketDynamics.market_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_foldTime_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_fractalDim_in_band' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.chapterAlpha_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.chapterAlpha_monofractal_varies' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.monofractal_legendre_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.fisherForm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.curvProxy_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.exp_halfLife' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_omega' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_foldTime_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.market_fractalDim_in_band' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.chapterAlpha_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.chapterAlpha_monofractal_varies' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.monofractal_legendre_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.fisherForm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.curvProxy_rescale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.MarketDynamics.exp_halfLife' depends on axioms: [propext, Classical.choice, Quot.sound]
