'Orthogenesis.GenerativeMatrix.rank_le_code_dim' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.compression_not_onto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.vectorSpace_not_countable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_range_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_rank_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_no_gain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_can_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.rank_le_code_dim' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.compression_not_onto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.vectorSpace_not_countable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_range_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_rank_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_no_gain' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.GenerativeMatrix.kUpdate_can_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
