'Orthogenesis.NeuralDynamics.neural_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_halfLife_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_foldTime_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_timescales_exceed_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.corr3_minors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.corr3_coherences' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_triangle_fails' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_halfLife_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_foldTime_gt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.neural_timescales_exceed_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_eq_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_unbounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.corr3_minors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.corr3_coherences' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralDynamics.coherenceDist_triangle_fails' depends on axioms: [propext, Classical.choice, Quot.sound]
