'Orthogenesis.NeuralOscillations.hopf_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_decay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_cycle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_grows_inside' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_decays_outside' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.no_cycle_at_critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_antiphase_locked' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_cancel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.gamma_cycles_45min' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.gamma_period_25ms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.hopf_energy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_decay' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_cycle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_grows_inside' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.radial_decays_outside' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.no_cycle_at_critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_antiphase_locked' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.plv_cancel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.gamma_cycles_45min' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.NeuralOscillations.gamma_period_25ms' depends on axioms: [propext, Classical.choice, Quot.sound]
