'Orthogenesis.SubcriticalApproach.ratio_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.phi_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.below_maps_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.phi_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.golden_angle_forms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.golden_angle_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.row_13_8' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.ratio_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.phi_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.below_maps_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.above_maps_below' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.phi_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.golden_angle_forms' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.sqrt5_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.sqrt5_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.sqrt5_lo'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.sqrt5_hi'' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.golden_angle_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.SubcriticalApproach.row_13_8' depends on axioms: [propext, Classical.choice, Quot.sound]
