'Orthogenesis.Plasma.transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.rho_zero_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_gt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_mem_Ioo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_fractalDim_gt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_fractalDim_ne_published' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_lamFor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.det_nonpos_not_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_nondegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_not_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.foldHessian_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_critical_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_xpoint_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_opoint_posdet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_no_critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_degenerate_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_generic_morse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_le_secondFF' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_le_sqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.alfvenRate_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.alfvenRate_ne_plasma_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_transverseRate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_transverseRate_tendsto' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.rho_zero_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_gt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_mem_Ioo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_fractalDim_gt_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_fractalDim_ne_published' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fractalDim_lamFor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.det_nonpos_not_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_nondegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.xpointHessian_not_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.foldHessian_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_critical_points' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_xpoint_saddle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_opoint_posdet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_no_critical' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_degenerate_at_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.fold_generic_morse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_le_secondFF' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_le_sqrt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.focalCurvature_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.plasma_inFamily' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.alfvenRate_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.Plasma.alfvenRate_ne_plasma_mu' depends on axioms: [propext, Classical.choice, Quot.sound]
