'Orthogenesis.ResonanceModes.schumannBase_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.sqrt_two_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.schumann_ideal_f1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi11_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi22_cross' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi_diff_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi_sum_off_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.spectra_differ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.schumannBase_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.sqrt_two_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.schumann_ideal_f1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi11_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi22_cross' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi_diff_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.psi_sum_off_diagonal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.ResonanceModes.spectra_differ' depends on axioms: [propext, Classical.choice, Quot.sound]
