'Orthogenesis.FoldHysteresis.hasDerivAt_W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.fold_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.equilibria_at_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.right_branch_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.left_branch_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.nothing_near_past_right_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.bistable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.hasDerivAt_W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.hasDerivAt_dW' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.hasDerivAt_d2W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.fold_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.fold_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.equilibria_at_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.landing_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.right_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.left_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.right_branch_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.dW_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.left_branch_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.nothing_near_past_right_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.nothing_near_past_left_fold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.FoldHysteresis.bistable' depends on axioms: [propext, Classical.choice, Quot.sound]
