'Orthogenesis.TubulinChecks.kappa_star_over_hundredfold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.phi_inv_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.beta_matches_phi_inv_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.beta_is_not_phi_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.seam_stagger' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.log_rate_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.kappa_star_over_hundredfold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.kappa_star_radius' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.sqrt5_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.sqrt5_lo' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.sqrt5_hi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.phi_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.phi_inv_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.beta_matches_phi_inv_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.beta_is_not_phi_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.seam_stagger' depends on axioms: [propext, Classical.choice, Quot.sound]
'Orthogenesis.TubulinChecks.log_rate_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
